id,binsize,name,file_path,value_type,dataset_id,intervals_id
79149,50000,828796e2feb442ba997c00bfde5dbe3a_line.npy,/code/temp/828796e2feb442ba997c00bfde5dbe3a_line.npy,line,571,1565
79156,100000,c37f7fc88f324c08a39bda856a6b9107_line.npy,/code/temp/c37f7fc88f324c08a39bda856a6b9107_line.npy,line,571,1565
79209,50000,c0cb89a9d967419a9223ac163e5ac9c0_line.npy,/code/temp/c0cb89a9d967419a9223ac163e5ac9c0_line.npy,line,573,1565
79212,20000,f215596bdb3544eeac1468f62d2d37da_line.npy,/code/temp/f215596bdb3544eeac1468f62d2d37da_line.npy,line,573,1565
79215,100000,9b2f29ad449041b8915c292e6d39388b_line.npy,/code/temp/9b2f29ad449041b8915c292e6d39388b_line.npy,line,573,1565
75554,50000,35f58e3c0cf146c39c3bb517785530ae.npy,/code/temp/35f58e3c0cf146c39c3bb517785530ae.npy,ICCF,146,1566
75556,50000,7f5ec62bb79e40bf92bb3c7b3bacdc53.npy,/code/temp/7f5ec62bb79e40bf92bb3c7b3bacdc53.npy,Obs/Exp,146,1566
75770,50000,5345f1e55950444eaaf26fad9e6c81b2_line.npy,/code/temp/5345f1e55950444eaaf26fad9e6c81b2_line.npy,line,319,1566
75772,50000,03a4419d131c4ab4ac619fc9f75fa339_line.npy,/code/temp/03a4419d131c4ab4ac619fc9f75fa339_line.npy,line,320,1566
75776,50000,55016d4c6ab946b3ba32185cb8491894_line.npy,/code/temp/55016d4c6ab946b3ba32185cb8491894_line.npy,line,10,1566
75779,50000,7b5f07f37b004898b430e9e4a6e3160b_line.npy,/code/temp/7b5f07f37b004898b430e9e4a6e3160b_line.npy,line,11,1566
75782,50000,a30cfe4cb0c24597b0b9d956e2b78ec3_line.npy,/code/temp/a30cfe4cb0c24597b0b9d956e2b78ec3_line.npy,line,18,1566
75783,100000,b4860baae0a84a7bb867f4dacd6dc3a3_line.npy,/code/temp/b4860baae0a84a7bb867f4dacd6dc3a3_line.npy,line,319,1566
