id,binsize,name,file_path,file_path_small,dataset_id,intervals_id
23303,200000,a7b024cc0c084500ac646a37f4277ca7.npy,/code/temp/a7b024cc0c084500ac646a37f4277ca7.npy,/code/temp/a7b024cc0c084500ac646a37f4277ca7_small.npy,460,1452
23304,50000,745434a857f044b8b709dc2f2d99c183.npy,/code/temp/745434a857f044b8b709dc2f2d99c183.npy,/code/temp/745434a857f044b8b709dc2f2d99c183_small.npy,466,1452
23305,100000,c86630cbd2f84aa59db0bb66a6d2b861.npy,/code/temp/c86630cbd2f84aa59db0bb66a6d2b861.npy,/code/temp/c86630cbd2f84aa59db0bb66a6d2b861_small.npy,165,1452
23306,200000,2ca776a2a8af4cba8d9d59046db1fb7f.npy,/code/temp/2ca776a2a8af4cba8d9d59046db1fb7f.npy,/code/temp/2ca776a2a8af4cba8d9d59046db1fb7f_small.npy,461,1452
23307,50000,edeb01db05b7470cab2d5f6efc30ab9e.npy,/code/temp/edeb01db05b7470cab2d5f6efc30ab9e.npy,/code/temp/edeb01db05b7470cab2d5f6efc30ab9e_small.npy,467,1452
23308,200000,63acd18c117e4efd9be6ce0f3a9c56e4.npy,/code/temp/63acd18c117e4efd9be6ce0f3a9c56e4.npy,/code/temp/63acd18c117e4efd9be6ce0f3a9c56e4_small.npy,462,1452
23309,100000,bc097000ac564d148fb5b4c85d3f9ff6.npy,/code/temp/bc097000ac564d148fb5b4c85d3f9ff6.npy,/code/temp/bc097000ac564d148fb5b4c85d3f9ff6_small.npy,460,1452
23310,200000,5f28ca43a40c433ba3e62fef75bfedc5.npy,/code/temp/5f28ca43a40c433ba3e62fef75bfedc5.npy,/code/temp/5f28ca43a40c433ba3e62fef75bfedc5_small.npy,466,1452
23311,200000,6ce7d044c6c94b17ba56fee22362b402.npy,/code/temp/6ce7d044c6c94b17ba56fee22362b402.npy,/code/temp/6ce7d044c6c94b17ba56fee22362b402_small.npy,467,1452
23312,100000,478ec6f612e2404787f5cf2b055e31d2.npy,/code/temp/478ec6f612e2404787f5cf2b055e31d2.npy,/code/temp/478ec6f612e2404787f5cf2b055e31d2_small.npy,461,1452
23313,100000,27743b1641ec4caa901d39d2be07d846.npy,/code/temp/27743b1641ec4caa901d39d2be07d846.npy,/code/temp/27743b1641ec4caa901d39d2be07d846_small.npy,462,1452
23314,100000,230b808c506140f9ad7bbaa0a95fff91.npy,/code/temp/230b808c506140f9ad7bbaa0a95fff91.npy,/code/temp/230b808c506140f9ad7bbaa0a95fff91_small.npy,466,1452
23315,100000,612a7996ba6944ab90a35b43756bccb4.npy,/code/temp/612a7996ba6944ab90a35b43756bccb4.npy,/code/temp/612a7996ba6944ab90a35b43756bccb4_small.npy,467,1452
31159,50000,155333126ce04cf592cac98f0e8c1881.npy,/code/temp/155333126ce04cf592cac98f0e8c1881.npy,/code/temp/155333126ce04cf592cac98f0e8c1881_small.npy,571,1452
31161,100000,b4df5222e5d14829ad39fbf83f9176f6.npy,/code/temp/b4df5222e5d14829ad39fbf83f9176f6.npy,/code/temp/b4df5222e5d14829ad39fbf83f9176f6_small.npy,571,1452
31164,200000,6ddba84f2612498793fe33dfad69db16.npy,/code/temp/6ddba84f2612498793fe33dfad69db16.npy,/code/temp/6ddba84f2612498793fe33dfad69db16_small.npy,571,1452
31231,200000,7bc8bc321aae494094de2a0487fae340.npy,/code/temp/7bc8bc321aae494094de2a0487fae340.npy,/code/temp/7bc8bc321aae494094de2a0487fae340_small.npy,573,1452
31233,50000,b570a90f66fd423fb1aaa5d9c57bfeee.npy,/code/temp/b570a90f66fd423fb1aaa5d9c57bfeee.npy,/code/temp/b570a90f66fd423fb1aaa5d9c57bfeee_small.npy,573,1452
31234,100000,897619a5270e4bb38d8647bb7ab433e4.npy,/code/temp/897619a5270e4bb38d8647bb7ab433e4.npy,/code/temp/897619a5270e4bb38d8647bb7ab433e4_small.npy,573,1452
27954,1000,249cc31021c44d5f848fd8cef6a050da.npy,/code/temp/249cc31021c44d5f848fd8cef6a050da.npy,/code/temp/249cc31021c44d5f848fd8cef6a050da_small.npy,10,1562
27956,2000,e2d015be908449c2b5850b5f9db0e158.npy,/code/temp/e2d015be908449c2b5850b5f9db0e158.npy,/code/temp/e2d015be908449c2b5850b5f9db0e158_small.npy,10,1562
27963,1000,d17e160531ab4db3a069dd24e997280e.npy,/code/temp/d17e160531ab4db3a069dd24e997280e.npy,/code/temp/d17e160531ab4db3a069dd24e997280e_small.npy,11,1562
27964,2000,4ded209a45a4407f81bed870b407c3a8.npy,/code/temp/4ded209a45a4407f81bed870b407c3a8.npy,/code/temp/4ded209a45a4407f81bed870b407c3a8_small.npy,11,1562
27974,2000,7bff140c408f47848ccc12f38a61f411.npy,/code/temp/7bff140c408f47848ccc12f38a61f411.npy,/code/temp/7bff140c408f47848ccc12f38a61f411_small.npy,18,1562
27981,1000,61c4c11c64c84c90bd24718031aeca12.npy,/code/temp/61c4c11c64c84c90bd24718031aeca12.npy,/code/temp/61c4c11c64c84c90bd24718031aeca12_small.npy,18,1562
27983,2000,ff43cadf24a240f0a1be67590780b61e.npy,/code/temp/ff43cadf24a240f0a1be67590780b61e.npy,/code/temp/ff43cadf24a240f0a1be67590780b61e_small.npy,163,1562
27984,2000,0615451caa1649c6b7721ae3fdefad46.npy,/code/temp/0615451caa1649c6b7721ae3fdefad46.npy,/code/temp/0615451caa1649c6b7721ae3fdefad46_small.npy,319,1562
27986,1000,feb02e08248c4989917ad80a78d6b38a.npy,/code/temp/feb02e08248c4989917ad80a78d6b38a.npy,/code/temp/feb02e08248c4989917ad80a78d6b38a_small.npy,319,1562
27990,2000,0a32077919314ad3b3909e9c2d4913b5.npy,/code/temp/0a32077919314ad3b3909e9c2d4913b5.npy,/code/temp/0a32077919314ad3b3909e9c2d4913b5_small.npy,320,1562
27991,1000,1317eb0a1c2c442987dd4fb60f70a543.npy,/code/temp/1317eb0a1c2c442987dd4fb60f70a543.npy,/code/temp/1317eb0a1c2c442987dd4fb60f70a543_small.npy,163,1562
27992,2000,e1ae3d392f7a471684bd8329f0d4fedb.npy,/code/temp/e1ae3d392f7a471684bd8329f0d4fedb.npy,/code/temp/e1ae3d392f7a471684bd8329f0d4fedb_small.npy,165,1562
27994,1000,1b4a2f07f62649d987e6579121576a80.npy,/code/temp/1b4a2f07f62649d987e6579121576a80.npy,/code/temp/1b4a2f07f62649d987e6579121576a80_small.npy,320,1562
